Id,Requirement
377,Soil moisture at surface
407,Soil moisture at surface
447,Soil moisture at surface
678,Soil moisture at surface
759,Soil moisture at surface
823,Soil moisture at surface
29,Soil temperature
50,Soil type
599,Solar Ca II-K image
615,Solar coronagraphic image
600,Solar EUV flux
601,Solar EUV image
602,Solar H-alpha image
603,Solar magnetic field
604,Solar radio flux
857,Solar spectral irradiance
605,Solar white light image
606,Solar wind density
607,Solar wind temperature
608,Solar wind velocity
609,Solar X-ray flux
610,Solar X-ray image
21,Specific humidity
110,Specific humidity
111,Specific humidity
112,Specific humidity
113,Specific humidity
192,Specific humidity
234,Specific humidity
235,Specific humidity
237,Specific humidity
302,Specific humidity
303,Specific humidity
378,Specific humidity
379,Specific humidity
448,Specific humidity
628,Specific humidity
629,Specific humidity
630,Specific humidity
631,Specific humidity
704,Specific humidity
611,Spread F
450,Temperature of the tropopause
697,Total alkalinity (AT)
747,Total lightning density
856,Total lightning density
859,Total lightning density
725,Turbulence
118,Upward long-wave irradiance at Earth surface
308,Upward long-wave irradiance at Earth surface
298,Significant wave height
374,Significant wave height
536,Significant wave height
537,Significant wave height
538,Significant wave height
539,Significant wave height
540,Significant wave height
745,Significant wave height
843,Significant wave height
12,Snow cover
47,Snow cover
108,Snow cover
220,Snow cover
299,Snow cover
375,Snow cover
404,Snow cover
446,Snow cover
677,Snow cover
824,Snow cover
486,Snow depth
699,Snow depth
860,Snow depth
405,Snow status (wet/dry)
13,Snow water equivalent
48,Snow water equivalent
109,Snow water equivalent
221,Snow water equivalent
300,Snow water equivalent
376,Snow water equivalent
406,Snow water equivalent
758,Snow water equivalent
825,Snow water equivalent
189,SO2 mole fraction
736,SO2 mole fraction
928,SO2 mole fraction
929,SO2 mole fraction
930,SO2 mole fraction
931,SO2 mole fraction (near surface)
932,SO2 mole fraction (near surface)
933,SO2 mole fraction (near surface)
904,SO2 Total Column
905,SO2 Total Column
906,SO2 Total Column
804,SO2 Tropospheric Column
926,SO2 Tropospheric Column
927,SO2 Tropospheric Column
822,Soil moisture  (in the roots region)
49,Soil moisture at surface
222,Soil moisture at surface
301,Soil moisture at surface
520,Ocean velocity
840,Ocean velocity
185,OH
44,pCO2
558,pCO2
692,pCO2
694,pCO2
850,pCO2
401,Permafrost
675,Permafrost
696,pH
732,Precipitation  (liquid or solid)
45,Precipitation intensity at surface (liquid or solid)
104,Precipitation intensity at surface (liquid or solid)
289,Precipitation intensity at surface (liquid or solid)
368,Precipitation intensity at surface (liquid or solid)
442,Precipitation intensity at surface (liquid or solid)
521,Precipitation intensity at surface (liquid or solid)
730,Precipitation intensity at surface (liquid or solid)
773,Precipitation intensity at surface (liquid or solid)
46,Precipitation intensity at surface (solid)
105,Precipitation intensity at surface (solid)
290,Precipitation intensity at surface (solid)
369,Precipitation intensity at surface (solid)
443,Precipitation intensity at surface (solid)
731,Precipitation intensity at surface (solid)
683,Precipitation type at the surface
762,Precipitation type at the surface
595,Proton differential directional flux
598,Proton differential directional flux
709,Radiation Dose Rate
738,Radiation Dose Rate
789,Relative humidity
790,Relative humidity
776,Relative Humidity (near surface)
522,River discharge
676,River discharge
818,River discharge
471,Sea surface heat flux
845,Sea surface heat flux
472,Sea surface height anomaly
473,Sea surface height anomaly
474,Sea Surface Mass Flux
200,Sea surface salinity
291,Sea surface salinity
523,Sea surface salinity
524,Sea surface salinity
525,Sea surface salinity
526,Sea surface salinity
559,Sea surface salinity
868,N2O mole fraction (SR)
869,N2O mole fraction (SR)
171,NO
691,NO
179,NO2  Total Column
176,NO2 mole fraction
893,NO2 mole fraction
894,NO2 mole fraction
895,NO2 mole fraction
896,NO2 mole fraction
916,NO2 mole fraction (near surface)
917,NO2 mole fraction (near surface)
918,NO2 mole fraction (near surface)
907,NO2 Stratospheric Column
908,NO2 Stratospheric Column
909,NO2 Stratospheric Column
803,NO2 Tropospheric column
897,NO2 Tropospheric column
898,NO2 Tropospheric column
899,NO2 Tropospheric column
42,Normalised Difference Vegetation Index (NDVI)
281,Normalised Difference Vegetation Index (NDVI)
363,Normalised Difference Vegetation Index (NDVI)
399,Normalised Difference Vegetation Index (NDVI)
440,Normalised Difference Vegetation Index (NDVI)
43,O3
98,O3
99,O3
100,O3
101,O3
180,O3
181,O3
282,O3
283,O3
284,O3
285,O3
364,O3
365,O3
366,O3
624,O3
625,O3
626,O3
627,O3
812,O3
813,O3
814,O3
914,O3 mole fraction
910,O3 mole fraction
102,O3 Total Column
103,O3 Total Column
668,Ice sheet topography
719,Icing potential
114,Integrated Water Vapour (IWV)
115,Integrated Water Vapour (IWV)
304,Integrated Water Vapour (IWV)
380,Integrated Water Vapour (IWV)
449,Integrated Water Vapour (IWV)
817,Integrated Water Vapour (IWV)
590,Interplanetary magnetic field
591,Ionospheric plasma velocity
592,Ionospheric Radio Absorption
593,Ionospheric Scintillation
594,Ionospheric Vertical Total Electron Content (VTEC)
393,Lake area
669,Lake area
819,Lake area
670,Lake level
820,Lake level
671,Lake Surface Temperature
821,Lake Surface Temperature
39,Land cover
394,Land cover
672,Land cover
832,Land cover
40,Land surface temperature
97,Land surface temperature
219,Land surface temperature
278,Land surface temperature
360,Land surface temperature
395,Land surface temperature
439,Land surface temperature
830,Land surface temperature
396,Land surface topography
673,Land surface topography
41,Leaf Area Index (LAI)
279,Leaf Area Index (LAI)
361,Leaf Area Index (LAI)
397,Leaf Area Index (LAI)
674,Leaf Area Index (LAI)
828,Leaf Area Index (LAI)
280,Long-wave Earth surface emissivity
362,Long-wave Earth surface emissivity
398,Long-wave Earth surface emissivity
682,Meteorological Optical Range (MOR) (surface)
167,N2O mole fraction
863,N2O mole fraction
864,N2O mole fraction
865,N2O mole fraction
866,N2O mole fraction (BG)
867,N2O mole fraction (BG)
756,Sea surface salinity
837,Sea surface salinity
6,Sea surface temperature
106,Sea surface temperature
201,Sea surface temperature
231,Sea surface temperature
292,Sea surface temperature
370,Sea surface temperature
444,Sea surface temperature
527,Sea surface temperature
528,Sea surface temperature
529,Sea surface temperature
530,Sea surface temperature
531,Sea surface temperature
532,Sea surface temperature
560,Sea surface temperature
737,Sea surface temperature
757,Sea surface temperature
835,Sea surface temperature
7,Sea-ice cover
8,Sea-ice cover
